"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|ES","Generation - Solar [MW] Intraday / BZN|ES","Generation - Solar [MW] Current / BZN|ES","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"15.05.2025 10:30 - 15.05.2025 10:45","13788","14092","14499","n/e","n/e","n/e","3829","5085","5609"
"15.05.2025 10:45 - 15.05.2025 11:00","14134","14406","14825","n/e","n/e","n/e","3765","5069","5607"
"15.05.2025 11:00 - 15.05.2025 11:15","14460","14694","14620","n/e","n/e","n/e","3612","5026","5618"
"15.05.2025 11:15 - 15.05.2025 11:30","14681","14905","14849","n/e","n/e","n/e","3624","5047","5612"
"15.05.2025 11:30 - 15.05.2025 11:45","14869","15097","15042","n/e","n/e","n/e","3710","5097","5611"
"15.05.2025 11:45 - 15.05.2025 12:00","15021","15260","15189","n/e","n/e","n/e","3847","5172","5617"
"15.05.2025 12:00 - 15.05.2025 12:15","15275","15566","15194","n/e","n/e","n/e","4053","5244","5612"
"15.05.2025 12:15 - 15.05.2025 12:30","15333","15623","15207","n/e","n/e","n/e","4194","5352","5641"
"15.05.2025 12:30 - 15.05.2025 12:45","15339","15611","15184","n/e","n/e","n/e","4293","5490","5685"
"15.05.2025 12:45 - 15.05.2025 13:00","15304","15545","15136","n/e","n/e","n/e","4359","5630","5746"
"15.05.2025 13:00 - 15.05.2025 13:15","15233","15421","13724","n/e","n/e","n/e","4400","5792","5795"
"15.05.2025 13:15 - 15.05.2025 13:30","15176","15319","13740","n/e","n/e","n/e","4452","5918","5885"
"15.05.2025 13:30 - 15.05.2025 13:45","15131","15234","13753","n/e","n/e","n/e","4520","6031","5990"
"15.05.2025 13:45 - 15.05.2025 14:00","15091","15158","13759","n/e","n/e","n/e","4606","6140","6112"
"15.05.2025 14:00 - 15.05.2025 14:15","15090","15040","13716","n/e","n/e","n/e","4682","6213","6227"
"15.05.2025 14:15 - 15.05.2025 14:30","15024","14956","13674","n/e","n/e","n/e","4800","6357","6382"
"15.05.2025 14:30 - 15.05.2025 14:45","14932","14854","13619","n/e","n/e","n/e","4932","6537","6570"
"15.05.2025 14:45 - 15.05.2025 15:00","14808","14733","13552","n/e","n/e","n/e","5076","6740","6769"
"15.05.2025 15:00 - 15.05.2025 15:15","14665","14585","13440","n/e","n/e","n/e","5224","6986","6989"
"15.05.2025 15:15 - 15.05.2025 15:30","14484","14429","13325","n/e","n/e","n/e","5380","7188","7193"
"15.05.2025 15:30 - 15.05.2025 15:45","14276","14260","13211","n/e","n/e","n/e","5539","7369","7393"
"15.05.2025 15:45 - 15.05.2025 16:00","14055","14082","13102","n/e","n/e","n/e","5705","7532","7590"
"15.05.2025 16:00 - 15.05.2025 16:15","13882","13996","12287","n/e","n/e","n/e","5856","7699","7789"
"15.05.2025 16:15 - 15.05.2025 16:30","13674","13830","12256","n/e","n/e","n/e","6054","7848","7996"
"15.05.2025 16:30 - 15.05.2025 16:45","13489","13679","12237","n/e","n/e","n/e","6273","7999","8211"
"15.05.2025 16:45 - 15.05.2025 17:00","13318","13534","12222","n/e","n/e","n/e","6506","8149","8426"
"15.05.2025 17:00 - 15.05.2025 17:15","13081","13362","12329","n/e","n/e","n/e","6781","8306","8676"
"15.05.2025 17:15 - 15.05.2025 17:30","12893","13180","12257","n/e","n/e","n/e","7010","8441","8850"
"15.05.2025 17:30 - 15.05.2025 17:45","12673","12958","12143","n/e","n/e","n/e","7221","8561","8987"
"15.05.2025 17:45 - 15.05.2025 18:00","12399","12676","11960","n/e","n/e","n/e","7411","8668","9091"
"15.05.2025 18:00 - 15.05.2025 18:15","12323","12590","10474","n/e","n/e","n/e","7636","8762","9201"
"15.05.2025 18:15 - 15.05.2025 18:30","11860","12119","10120","n/e","n/e","n/e","7779","8843","9257"
"15.05.2025 18:30 - 15.05.2025 18:45","11270","11529","9643","n/e","n/e","n/e","7896","8912","9298"
"15.05.2025 18:45 - 15.05.2025 19:00","10540","10799","9025","n/e","n/e","n/e","7994","8977","9325"
"15.05.2025 19:00 - 15.05.2025 19:15","10178","10470","8865","n/e","n/e","n/e","8085","8995","9319"
"15.05.2025 19:15 - 15.05.2025 19:30","9061","9350","7752","n/e","n/e","n/e","8169","9066","9321"
"15.05.2025 19:30 - 15.05.2025 19:45","7769","8046","6534","n/e","n/e","n/e","8256","9148","9314"
"15.05.2025 19:45 - 15.05.2025 20:00","6379","6634","5270","n/e","n/e","n/e","8345","9236","9315"
"15.05.2025 20:00 - 15.05.2025 20:15","5339","5578","6142","n/e","n/e","n/e","8447","9406","9303"
"15.05.2025 20:15 - 15.05.2025 20:30","3972","4172","4895","n/e","n/e","n/e","8528","9492","9375"
"15.05.2025 20:30 - 15.05.2025 20:45","2812","2966","3804","n/e","n/e","n/e","8599","9569","9502"
"15.05.2025 20:45 - 15.05.2025 21:00","1879","1988","2938","n/e","n/e","n/e","8662","9640","9662"
"15.05.2025 21:00 - 15.05.2025 21:15","1043","1062","1517","n/e","n/e","n/e","8735","9708","9900"
"15.05.2025 21:15 - 15.05.2025 21:30","652","682","614","n/e","n/e","n/e","8784","9780","10034"
"15.05.2025 21:30 - 15.05.2025 21:45","467","523","523","n/e","n/e","n/e","8827","9859","10116"
"15.05.2025 21:45 - 15.05.2025 22:00","438","496","497","n/e","n/e","n/e","8865","9938","10155"
"15.05.2025 22:00 - 15.05.2025 22:15","424","469","577","n/e","n/e","n/e","8911","10045","10187"
"15.05.2025 22:15 - 15.05.2025 22:30","395","459","540","n/e","n/e","n/e","8935","10110","10192"
"15.05.2025 22:30 - 15.05.2025 22:45","356","448","501","n/e","n/e","n/e","8952","10158","10204"
"15.05.2025 22:45 - 15.05.2025 23:00","311","436","462","n/e","n/e","n/e","8961","10192","10222"
"15.05.2025 23:00 - 15.05.2025 23:15","252","420","369","n/e","n/e","n/e","8976","10237","11314"
"15.05.2025 23:15 - 15.05.2025 23:30","220","409","357","n/e","n/e","n/e","8973","10246","11267"
"15.05.2025 23:30 - 15.05.2025 23:45","203","400","349","n/e","n/e","n/e","8965","10246","11191"
"15.05.2025 23:45 - 16.05.2025 00:00","201","393","344","n/e","n/e","n/e","8951","10236","11093"
"16.05.2025 00:00 - 16.05.2025 00:15","258","603","603","n/e","n/e","n/e","10333","10880","10880"
"16.05.2025 00:15 - 16.05.2025 00:30","261","580","580","n/e","n/e","n/e","10338","10776","10776"
"16.05.2025 00:30 - 16.05.2025 00:45","270","544","544","n/e","n/e","n/e","10337","10669","10669"
"16.05.2025 00:45 - 16.05.2025 01:00","281","503","503","n/e","n/e","n/e","10329","10562","10562"
"16.05.2025 01:00 - 16.05.2025 01:15","297","438","438","n/e","n/e","n/e","10326","10425","10425"
"16.05.2025 01:15 - 16.05.2025 01:30","305","431","431","n/e","n/e","n/e","10303","10331","10331"
"16.05.2025 01:30 - 16.05.2025 01:45","306","427","427","n/e","n/e","n/e","10273","10235","10235"
"16.05.2025 01:45 - 16.05.2025 02:00","304","423","423","n/e","n/e","n/e","10241","10140","10140"
"16.05.2025 02:00 - 16.05.2025 02:15","299","511","511","n/e","n/e","n/e","10188","10100","10100"
"16.05.2025 02:15 - 16.05.2025 02:30","293","497","497","n/e","n/e","n/e","10169","10051","10051"
"16.05.2025 02:30 - 16.05.2025 02:45","288","481","481","n/e","n/e","n/e","10164","10050","10050"
"16.05.2025 02:45 - 16.05.2025 03:00","285","464","464","n/e","n/e","n/e","10169","10071","10071"
"16.05.2025 03:00 - 16.05.2025 03:15","282","518","518","n/e","n/e","n/e","10183","10121","10121"
"16.05.2025 03:15 - 16.05.2025 03:30","278","496","496","n/e","n/e","n/e","10191","10095","10095"
"16.05.2025 03:30 - 16.05.2025 03:45","273","474","474","n/e","n/e","n/e","10192","10007","10007"
"16.05.2025 03:45 - 16.05.2025 04:00","267","452","452","n/e","n/e","n/e","10185","9873","9873"
"16.05.2025 04:00 - 16.05.2025 04:15","261","414","414","n/e","n/e","n/e","10190","9701","9701"
"16.05.2025 04:15 - 16.05.2025 04:30","253","397","397","n/e","n/e","n/e","10169","9552","9552"
"16.05.2025 04:30 - 16.05.2025 04:45","244","378","378","n/e","n/e","n/e","10139","9427","9427"
"16.05.2025 04:45 - 16.05.2025 05:00","234","358","358","n/e","n/e","n/e","10096","9325","9325"
"16.05.2025 05:00 - 16.05.2025 05:15","224","355","355","n/e","n/e","n/e","10085","9303","9303"
"16.05.2025 05:15 - 16.05.2025 05:30","210","326","326","n/e","n/e","n/e","9997","9219","9219"
"16.05.2025 05:30 - 16.05.2025 05:45","193","295","295","n/e","n/e","n/e","9880","9132","9132"
"16.05.2025 05:45 - 16.05.2025 06:00","176","265","265","n/e","n/e","n/e","9745","9033","9033"
"16.05.2025 06:00 - 16.05.2025 06:15","161","183","183","n/e","n/e","n/e","9590","9009","9009"
"16.05.2025 06:15 - 16.05.2025 06:30","145","170","170","n/e","n/e","n/e","9463","8851","8851"
"16.05.2025 06:30 - 16.05.2025 06:45","135","165","165","n/e","n/e","n/e","9355","8704","8704"
"16.05.2025 06:45 - 16.05.2025 07:00","131","168","168","n/e","n/e","n/e","9245","8522","8522"
"16.05.2025 07:00 - 16.05.2025 07:15","670","597","597","n/e","n/e","n/e","9230","8513","8513"
"16.05.2025 07:15 - 16.05.2025 07:30","1189","1245","1245","n/e","n/e","n/e","9031","8270","8270"
"16.05.2025 07:30 - 16.05.2025 07:45","1962","2074","2074","n/e","n/e","n/e","8756","8021","8021"
"16.05.2025 07:45 - 16.05.2025 08:00","2949","3041","3041","n/e","n/e","n/e","8430","7763","7763"
"16.05.2025 08:00 - 16.05.2025 08:15","5380","5218","5218","n/e","n/e","n/e","8062","7519","7519"
"16.05.2025 08:15 - 16.05.2025 08:30","6956","6766","6766","n/e","n/e","n/e","7733","7228","7228"
"16.05.2025 08:30 - 16.05.2025 08:45","8518","8317","8317","n/e","n/e","n/e","7447","6918","6918"
"16.05.2025 08:45 - 16.05.2025 09:00","10002","9807","9807","n/e","n/e","n/e","7205","6608","6608"
"16.05.2025 09:00 - 16.05.2025 09:15","12252","12202","12161","n/e","n/e","n/e","6946","6225","6991"
"16.05.2025 09:15 - 16.05.2025 09:30","13518","13504","13411","n/e","n/e","n/e","6784","5989","6718"
"16.05.2025 09:30 - 16.05.2025 09:45","14536","14576","14473","n/e","n/e","n/e","6653","5814","6477"
"16.05.2025 09:45 - 16.05.2025 10:00","15325","15421","15360","n/e","n/e","n/e","6547","5691","6265"
"16.05.2025 10:00 - 16.05.2025 10:15","16419","16637","16511","n/e","n/e","n/e","6443","5638","6145"
"16.05.2025 10:15 - 16.05.2025 10:30","16884","17149","17037","n/e","n/e","n/e","6366","5571","5960"
"16.05.2025 10:30 - 16.05.2025 10:45","17220","17515","17402","n/e","n/e","n/e","6295","5512","5781"
"16.05.2025 10:45 - 16.05.2025 11:00","17457","17767","17640","n/e","n/e","n/e","6230","5462","5613"
"16.05.2025 11:00 - 16.05.2025 11:15","17735","18044","14445","n/e","n/e","n/e","6149","5395","5449"
"16.05.2025 11:15 - 16.05.2025 11:30","17861","18178","14779","n/e","n/e","n/e","6111","5370","5311"
"16.05.2025 11:30 - 16.05.2025 11:45","17967","18297","15061","n/e","n/e","n/e","6090","5361","5196"
"16.05.2025 11:45 - 16.05.2025 12:00","18051","18395","15294","n/e","n/e","n/e","6078","5364","5099"
"16.05.2025 12:00 - 16.05.2025 12:15","18161","18564","14573","n/e","n/e","n/e","6089","5368","5024"
"16.05.2025 12:15 - 16.05.2025 12:30","18174","18578","14720","n/e","n/e","n/e","6067","5383","4949"
"16.05.2025 12:30 - 16.05.2025 12:45","18143","18534","14847","n/e","n/e","n/e","6028","5399","4880"
"16.05.2025 12:45 - 16.05.2025 13:00","18075","18442","14953","n/e","n/e","n/e","5975","5414","4814"
"16.05.2025 13:00 - 16.05.2025 13:15","17969","18320","14371","n/e","n/e","n/e","5917","5437","4761"
"16.05.2025 13:15 - 16.05.2025 13:30","17871","18174","14418","n/e","n/e","n/e","5850","5441","4690"
"16.05.2025 13:30 - 16.05.2025 13:45","17775","18031","14452","n/e","n/e","n/e","5784","5438","4672"
"16.05.2025 13:45 - 16.05.2025 14:00","17678","17892","14478","n/e","n/e","n/e","5723","5431","4651"
"16.05.2025 14:00 - 16.05.2025 14:15","17629","17747","14069","n/e","n/e","n/e","5647","5412","4612"
"16.05.2025 14:15 - 16.05.2025 14:30","17514","17607","14070","n/e","n/e","n/e","5601","5407","4602"
"16.05.2025 14:30 - 16.05.2025 14:45","17382","17464","14063","n/e","n/e","n/e","5568","5408","4606"
"16.05.2025 14:45 - 16.05.2025 15:00","17232","17313","14050","n/e","n/e","n/e","5550","5415","4624"
"16.05.2025 15:00 - 16.05.2025 15:15","17101","17184","13529","n/e","n/e","n/e","5505","5415","4627"
"16.05.2025 15:15 - 16.05.2025 15:30","16921","17008","13502","n/e","n/e","n/e","5529","5431","4674"
"16.05.2025 15:30 - 16.05.2025 15:45","16726","16821","13487","n/e","n/e","n/e","5579","5452","4736"
"16.05.2025 15:45 - 16.05.2025 16:00","16530","16631","13481","n/e","n/e","n/e","5650","5485","4813"
"16.05.2025 16:00 - 16.05.2025 16:15","16359","16448","13481","n/e","n/e","n/e","5720","5487","4881"
"16.05.2025 16:15 - 16.05.2025 16:30","16194","16309","13508","n/e","n/e","n/e","5820","5567","4984"
"16.05.2025 16:30 - 16.05.2025 16:45","16058","16210","13544","n/e","n/e","n/e","5927","5678","5099"
"16.05.2025 16:45 - 16.05.2025 17:00","15936","16134","13584","n/e","n/e","n/e","6042","5813","5223"
"16.05.2025 17:00 - 16.05.2025 17:15","15900","16153","13953","n/e","n/e","n/e","6156","5975","5359"
"16.05.2025 17:15 - 16.05.2025 17:30","15747","16041","13986","n/e","n/e","n/e","6292","6122","5494"
"16.05.2025 17:30 - 16.05.2025 17:45","15548","15870","13985","n/e","n/e","n/e","6439","6259","5630"
"16.05.2025 17:45 - 16.05.2025 18:00","15273","15612","13905","n/e","n/e","n/e","6589","6386","5763"
"16.05.2025 18:00 - 16.05.2025 18:15","15206","15577","15320","n/e","n/e","n/e","6775","6471","5876"
"16.05.2025 18:15 - 16.05.2025 18:30","14677","15050","14859","n/e","n/e","n/e","6902","6582","5994"
"16.05.2025 18:30 - 16.05.2025 18:45","13981","14349","14219","n/e","n/e","n/e","7005","6688","6101"
"16.05.2025 18:45 - 16.05.2025 19:00","13100","13459","13376","n/e","n/e","n/e","7091","6789","6203"
"16.05.2025 19:00 - 16.05.2025 19:15","12651","13008","11461","n/e","n/e","n/e","7170","6953","6343"
"16.05.2025 19:15 - 16.05.2025 19:30","11287","11611","10010","n/e","n/e","n/e","7251","7042","6450"
"16.05.2025 19:30 - 16.05.2025 19:45","9705","9981","8390","n/e","n/e","n/e","7341","7123","6566"
"16.05.2025 19:45 - 16.05.2025 20:00","8003","8224","6701","n/e","n/e","n/e","7428","7192","6680"
"16.05.2025 20:00 - 16.05.2025 20:15","6582","6769","8560","n/e","n/e","n/e","7571","7295","6844"
"16.05.2025 20:15 - 16.05.2025 20:30","4926","5049","6961","n/e","n/e","n/e","7607","7334","6922"
"16.05.2025 20:30 - 16.05.2025 20:45","3504","3571","5523","n/e","n/e","n/e","7600","7353","6966"
"16.05.2025 20:45 - 16.05.2025 21:00","2344","2369","4310","n/e","n/e","n/e","7556","7351","6979"
"16.05.2025 21:00 - 16.05.2025 21:15","1330","1281","1377","n/e","n/e","n/e","7500","7370","6998"
"16.05.2025 21:15 - 16.05.2025 21:30","856","833","973","n/e","n/e","n/e","7423","7320","6961"
"16.05.2025 21:30 - 16.05.2025 21:45","645","652","846","n/e","n/e","n/e","7345","7244","6907"
"16.05.2025 21:45 - 16.05.2025 22:00","609","614","811","n/e","n/e","n/e","7265","7149","6837"
"16.05.2025 22:00 - 16.05.2025 22:15","587","575","520","n/e","n/e","n/e","7204","7047","6779"
"16.05.2025 22:15 - 16.05.2025 22:30","550","553","515","n/e","n/e","n/e","7106","6933","6680"
"16.05.2025 22:30 - 16.05.2025 22:45","504","535","513","n/e","n/e","n/e","6993","6819","6569"
"16.05.2025 22:45 - 16.05.2025 23:00","449","516","513","n/e","n/e","n/e","6867","6702","6446"
"16.05.2025 23:00 - 16.05.2025 23:15","402","508","551","n/e","n/e","n/e","6754","6612","7471"
"16.05.2025 23:15 - 16.05.2025 23:30","337","479","533","n/e","n/e","n/e","6609","6477","7246"
"16.05.2025 23:30 - 16.05.2025 23:45","273","441","512","n/e","n/e","n/e","6458","6327","7015"
"16.05.2025 23:45 - 17.05.2025 00:00","220","403","490","n/e","n/e","n/e","6296","6162","6779"
"17.05.2025 00:00 - 17.05.2025 00:15","462","468","468","n/e","n/e","n/e","5745","7251","7251"
"17.05.2025 00:15 - 17.05.2025 00:30","456","454","454","n/e","n/e","n/e","5559","6983","6983"
"17.05.2025 00:30 - 17.05.2025 00:45","456","443","443","n/e","n/e","n/e","5362","6705","6705"
"17.05.2025 00:45 - 17.05.2025 01:00","461","437","437","n/e","n/e","n/e","5157","6421","6421"
"17.05.2025 01:00 - 17.05.2025 01:15","469","490","490","n/e","n/e","n/e","4958","6520","6520"
"17.05.2025 01:15 - 17.05.2025 01:30","474","496","496","n/e","n/e","n/e","4753","6246","6246"
"17.05.2025 01:30 - 17.05.2025 01:45","477","507","507","n/e","n/e","n/e","4553","5978","5978"
"17.05.2025 01:45 - 17.05.2025 02:00","476","516","516","n/e","n/e","n/e","4360","5717","5717"
"17.05.2025 02:00 - 17.05.2025 02:15","480","613","613","n/e","n/e","n/e","4169","5481","5481"
"17.05.2025 02:15 - 17.05.2025 02:30","467","607","607","n/e","n/e","n/e","3998","5252","5252"
"17.05.2025 02:30 - 17.05.2025 02:45","449","594","594","n/e","n/e","n/e","3838","5032","5032"
"17.05.2025 02:45 - 17.05.2025 03:00","427","578","578","n/e","n/e","n/e","3692","4822","4822"
"17.05.2025 03:00 - 17.05.2025 03:15","405","525","525","n/e","n/e","n/e","3540","4853","4853"
"17.05.2025 03:15 - 17.05.2025 03:30","387","508","508","n/e","n/e","n/e","3426","4666","4666"
"17.05.2025 03:30 - 17.05.2025 03:45","374","487","487","n/e","n/e","n/e","3327","4493","4493"
"17.05.2025 03:45 - 17.05.2025 04:00","365","466","466","n/e","n/e","n/e","3243","4332","4332"
"17.05.2025 04:00 - 17.05.2025 04:15","367","545","545","n/e","n/e","n/e","3159","4195","4195"
"17.05.2025 04:15 - 17.05.2025 04:30","356","529","529","n/e","n/e","n/e","3098","4042","4042"
"17.05.2025 04:30 - 17.05.2025 04:45","339","513","513","n/e","n/e","n/e","3044","3902","3902"
"17.05.2025 04:45 - 17.05.2025 05:00","318","494","494","n/e","n/e","n/e","2997","3769","3769"
"17.05.2025 05:00 - 17.05.2025 05:15","296","559","559","n/e","n/e","n/e","2956","3567","3567"
"17.05.2025 05:15 - 17.05.2025 05:30","271","513","513","n/e","n/e","n/e","2915","3448","3448"
"17.05.2025 05:30 - 17.05.2025 05:45","245","463","463","n/e","n/e","n/e","2875","3327","3327"
"17.05.2025 05:45 - 17.05.2025 06:00","221","413","413","n/e","n/e","n/e","2830","3203","3203"
"17.05.2025 06:00 - 17.05.2025 06:15","194","352","352","n/e","n/e","n/e","2817","2965","2965"
"17.05.2025 06:15 - 17.05.2025 06:30","173","319","319","n/e","n/e","n/e","2742","2837","2837"
"17.05.2025 06:30 - 17.05.2025 06:45","161","297","297","n/e","n/e","n/e","2644","2704","2704"
"17.05.2025 06:45 - 17.05.2025 07:00","155","285","285","n/e","n/e","n/e","2527","2564","2564"
"17.05.2025 07:00 - 17.05.2025 07:15","729","718","718","n/e","n/e","n/e","2426","2645","2645"
"17.05.2025 07:15 - 17.05.2025 07:30","1244","1354","1354","n/e","n/e","n/e","2282","2478","2478"
"17.05.2025 07:30 - 17.05.2025 07:45","1995","2161","2161","n/e","n/e","n/e","2133","2308","2308"
"17.05.2025 07:45 - 17.05.2025 08:00","2939","3107","3107","n/e","n/e","n/e","1986","2138","2138"
"17.05.2025 08:00 - 17.05.2025 08:15","5155","5012","5012","n/e","n/e","n/e","1828","2016","2016"
"17.05.2025 08:15 - 17.05.2025 08:30","6625","6525","6525","n/e","n/e","n/e","1709","1865","1865"
"17.05.2025 08:30 - 17.05.2025 08:45","8083","8006","8006","n/e","n/e","n/e","1612","1727","1727"
"17.05.2025 08:45 - 17.05.2025 09:00","9477","9431","9431","n/e","n/e","n/e","1537","1603","1603"
"17.05.2025 09:00 - 17.05.2025 09:15","11602","11786","12382","n/e","n/e","n/e","1455","1510","1528"
"17.05.2025 09:15 - 17.05.2025 09:30","12785","13022","13454","n/e","n/e","n/e","1416","1414","1442"
"17.05.2025 09:30 - 17.05.2025 09:45","13732","14005","14328","n/e","n/e","n/e","1391","1333","1369"
"17.05.2025 09:45 - 17.05.2025 10:00","14454","14744","15016","n/e","n/e","n/e","1378","1266","1309"
"17.05.2025 10:00 - 17.05.2025 10:15","15435","15752","16057","n/e","n/e","n/e","1361","1213","1032"
"17.05.2025 10:15 - 17.05.2025 10:30","15820","16145","16423","n/e","n/e","n/e","1364","1165","1007"
"17.05.2025 10:30 - 17.05.2025 10:45","16057","16395","16642","n/e","n/e","n/e","1372","1123","996"
"17.05.2025 10:45 - 17.05.2025 11:00","16185","16536","16757","n/e","n/e","n/e","1384","1087","997"
"17.05.2025 11:00 - 17.05.2025 11:15","16323","16682","15477","n/e","n/e","n/e","1397","1060","1014"
"17.05.2025 11:15 - 17.05.2025 11:30","16351","16719","15677","n/e","n/e","n/e","1411","1034","1024"
"17.05.2025 11:30 - 17.05.2025 11:45","16377","16750","15834","n/e","n/e","n/e","1425","1012","1034"
"17.05.2025 11:45 - 17.05.2025 12:00","16405","16781","15949","n/e","n/e","n/e","1441","993","1044"
"17.05.2025 12:00 - 17.05.2025 12:15","16423","16807","15046","n/e","n/e","n/e","1450","980","1064"
"17.05.2025 12:15 - 17.05.2025 12:30","16435","16814","15130","n/e","n/e","n/e","1477","966","1071"
"17.05.2025 12:30 - 17.05.2025 12:45","16433","16802","15180","n/e","n/e","n/e","1512","989","1077"
"17.05.2025 12:45 - 17.05.2025 13:00","16416","16778","15206","n/e","n/e","n/e","1550","1010","1082"
"17.05.2025 13:00 - 17.05.2025 13:15","16403","16732","14022","n/e","n/e","n/e","1607","1031","1090"
"17.05.2025 13:15 - 17.05.2025 13:30","16363","16683","14096","n/e","n/e","n/e","1631","1052","1095"
"17.05.2025 13:30 - 17.05.2025 13:45","16313","16632","14156","n/e","n/e","n/e","1639","1073","1100"
"17.05.2025 13:45 - 17.05.2025 14:00","16252","16576","14204","n/e","n/e","n/e","1637","1093","1106"
"17.05.2025 14:00 - 17.05.2025 14:15","16234","16583","12988","n/e","n/e","n/e","1622","1115","1109"
"17.05.2025 14:15 - 17.05.2025 14:30","16149","16502","13039","n/e","n/e","n/e","1620","1134","1119"
"17.05.2025 14:30 - 17.05.2025 14:45","16050","16404","13076","n/e","n/e","n/e","1626","1153","1144"
"17.05.2025 14:45 - 17.05.2025 15:00","15937","16287","13107","n/e","n/e","n/e","1641","1173","1173"
"17.05.2025 15:00 - 17.05.2025 15:15","15838","16167","13115","n/e","n/e","n/e","1653","1182","1197"
"17.05.2025 15:15 - 17.05.2025 15:30","15696","16012","13079","n/e","n/e","n/e","1677","1214","1236"
"17.05.2025 15:30 - 17.05.2025 15:45","15541","15840","13051","n/e","n/e","n/e","1704","1257","1283"
"17.05.2025 15:45 - 17.05.2025 16:00","15383","15663","13033","n/e","n/e","n/e","1736","1309","1336"
"17.05.2025 16:00 - 17.05.2025 16:15","15153","15470","13473","n/e","n/e","n/e","1754","1361","1387"
"17.05.2025 16:15 - 17.05.2025 16:30","15028","15325","13482","n/e","n/e","n/e","1807","1427","1453"
"17.05.2025 16:30 - 17.05.2025 16:45","14934","15214","13513","n/e","n/e","n/e","1875","1498","1525"
"17.05.2025 16:45 - 17.05.2025 17:00","14863","15131","13556","n/e","n/e","n/e","1954","1578","1607"
"17.05.2025 17:00 - 17.05.2025 17:15","14875","15099","12857","n/e","n/e","n/e","2044","1648","1681"
"17.05.2025 17:15 - 17.05.2025 17:30","14819","15054","12958","n/e","n/e","n/e","2131","1756","1787"
"17.05.2025 17:30 - 17.05.2025 17:45","14749","15006","13016","n/e","n/e","n/e","2218","1882","1908"
"17.05.2025 17:45 - 17.05.2025 18:00","14625","14908","12993","n/e","n/e","n/e","2308","2021","2040"
"17.05.2025 18:00 - 17.05.2025 18:15","14739","15053","11881","n/e","n/e","n/e","2390","2196","2199"
"17.05.2025 18:15 - 17.05.2025 18:30","14355","14664","11595","n/e","n/e","n/e","2502","2335","2336"
"17.05.2025 18:30 - 17.05.2025 18:45","13778","14049","11126","n/e","n/e","n/e","2631","2463","2468"
"17.05.2025 18:45 - 17.05.2025 19:00","12988","13200","10459","n/e","n/e","n/e","2766","2577","2590"
"17.05.2025 19:00 - 17.05.2025 19:15","12654","12797","10314","n/e","n/e","n/e","2950","2721","2748"
"17.05.2025 19:15 - 17.05.2025 19:30","11319","11414","8949","n/e","n/e","n/e","3061","2810","2847"
"17.05.2025 19:30 - 17.05.2025 19:45","9740","9811","7425","n/e","n/e","n/e","3142","2888","2931"
"17.05.2025 19:45 - 17.05.2025 20:00","8024","8091","5842","n/e","n/e","n/e","3199","2958","3005"
"17.05.2025 20:00 - 17.05.2025 20:15","6583","6675","7683","n/e","n/e","n/e","3245","3021","3071"
"17.05.2025 20:15 - 17.05.2025 20:30","4914","4998","6120","n/e","n/e","n/e","3288","3091","3142"
"17.05.2025 20:30 - 17.05.2025 20:45","3494","3556","4714","n/e","n/e","n/e","3338","3168","3220"
"17.05.2025 20:45 - 17.05.2025 21:00","2352","2381","3532","n/e","n/e","n/e","3392","3247","3300"
"17.05.2025 21:00 - 17.05.2025 21:15","1379","1304","1614","n/e","n/e","n/e","3458","3344","3401"
"17.05.2025 21:15 - 17.05.2025 21:30","906","863","778","n/e","n/e","n/e","3504","3412","3467"
"17.05.2025 21:30 - 17.05.2025 21:45","685","686","660","n/e","n/e","n/e","3539","3465","3517"
"17.05.2025 21:45 - 17.05.2025 22:00","655","654","638","n/e","n/e","n/e","3566","3505","3552"
"17.05.2025 22:00 - 17.05.2025 22:15","627","612","536","n/e","n/e","n/e","3589","3552","3592"
"17.05.2025 22:15 - 17.05.2025 22:30","608","601","497","n/e","n/e","n/e","3611","3567","3602"
"17.05.2025 22:30 - 17.05.2025 22:45","587","597","453","n/e","n/e","n/e","3636","3572","3604"
"17.05.2025 22:45 - 17.05.2025 23:00","556","595","409","n/e","n/e","n/e","3661","3569","3599"
"17.05.2025 23:00 - 17.05.2025 23:15","565","606","365","n/e","n/e","n/e","3696","3561","3557"
"17.05.2025 23:15 - 17.05.2025 23:30","488","591","339","n/e","n/e","n/e","3714","3556","3551"
"17.05.2025 23:30 - 17.05.2025 23:45","386","565","319","n/e","n/e","n/e","3725","3556","3554"
"17.05.2025 23:45 - 18.05.2025 00:00","281","533","306","n/e","n/e","n/e","3729","3561","3563"
"18.05.2025 00:00 - 18.05.2025 00:15","305","487","487","n/e","n/e","n/e","3595","3748","3748"
"18.05.2025 00:15 - 18.05.2025 00:30","319","488","488","n/e","n/e","n/e","3600","3755","3755"
"18.05.2025 00:30 - 18.05.2025 00:45","347","494","494","n/e","n/e","n/e","3607","3761","3761"
"18.05.2025 00:45 - 18.05.2025 01:00","381","501","501","n/e","n/e","n/e","3615","3766","3766"
